M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  premium                SELL   53.8%    8827   35.8%   +2.9%   -0.143   +0.087
  sweep_high             SELL    6.0%     979   35.1%   +2.3%   -0.162   +0.068
  session_asia            BUY   33.3%    5463   35.3%   +1.8%   -0.156   +0.055
  sweep_low               BUY    3.8%     624   34.6%   +1.1%   -0.178   +0.033
  volspike                BUY    4.1%     675   34.5%   +1.0%   -0.181   +0.031
  wick_reject            SELL   20.0%    3274   33.0%   +0.1%   -0.226   +0.004
  _BASELINE               BUY  100.0%   16403   33.5%   +0.0%   -0.212   +0.000
  _BASELINE              SELL  100.0%   16403   32.9%   +0.0%   -0.230   +0.000
  session_asia           SELL   33.3%    5463   32.7%   -0.2%   -0.236   -0.006
  wick_reject             BUY   21.7%    3557   33.0%   -0.5%   -0.226   -0.015
  displacement            BUY    4.9%     808   32.9%   -0.6%   -0.229   -0.017
  session_london         SELL   20.8%    3420   32.0%   -0.9%   -0.256   -0.026
  retest                 SELL   19.7%    3228   32.0%   -0.9%   -0.257   -0.027
  session_london          BUY   20.8%    3420   32.5%   -1.0%   -0.242   -0.030
  htf_aligned             BUY   66.7%   10936   32.2%   -1.3%   -0.252   -0.040
  retest                  BUY   26.6%    4355   31.4%   -2.1%   -0.274   -0.063
  fvg                     BUY    7.3%    1191   31.3%   -2.2%   -0.277   -0.065
  htf_aligned            SELL   28.7%    4704   30.4%   -2.5%   -0.304   -0.074
  volspike               SELL    4.5%     741   30.0%   -2.9%   -0.318   -0.087
  fvg                    SELL    5.9%     962   29.3%   -3.6%   -0.337   -0.107
  displacement           SELL    4.1%     675   29.2%   -3.7%   -0.341   -0.111
  bos                     BUY   13.4%    2199   29.5%   -4.0%   -0.333   -0.121
  bos                    SELL    9.4%    1549   28.5%   -4.4%   -0.362   -0.132
  session_ny             SELL   20.8%    3420   28.0%   -4.9%   -0.377   -0.147

=== GBPJPY
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   20.8%    3420   35.9%   +3.4%   -0.111   +0.101
